ruta,autor,seccion,items_pass,items_aplicables,pct_cumplimiento,semaforo,item_h1_70_170,item_title_50_65,item_meta_desc_150_170,item_meta_desc_no_repite_h1,item_primer_parrafo_180,item_h2_estructura,item_listas_tablas,item_extension_400,item_tags_1_5,item_enlaces_min_2,item_enlace_parrafo_1_3,item_ancla_valida,item_imagen_1200px,item_imagen_alt
/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,Edwin Lozada,sport business,9,13,69.2,🟡,True,True,False,True,True,False,,True,False,True,True,True,True,False
/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/,Jhojhanni Fiorini,sport business,8,13,61.5,🟡,True,False,False,True,True,True,,True,True,True,False,False,True,False
/money-invest/daily-news/monorriel-de-santo-domingo-asi-conectara-al-distrito-nacional-con-sde-en-18-minutos/,Andrea Mercedes,daily news,11,13,84.6,🟢,True,True,False,True,True,True,,True,True,True,True,True,True,False
/money-invest/daily-news/cuanto-pagaras-por-una-transferencia-bancos-explican-como-funciona-el-nuevo-impuesto-de-0-20/,Andrea Mercedes,daily news,10,13,76.9,🟡,True,True,False,True,True,False,,True,True,True,True,True,True,False
/money-invest/daily-news/aislamiento-base-tecnologia-edificios-antisismicos/,Andrea Mercedes,daily news,10,13,76.9,🟡,True,False,False,True,True,True,,True,True,True,True,True,True,False
/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/,Jhojhanni Fiorini,sport business,9,13,69.2,🟡,True,False,False,True,True,True,,True,True,True,False,False,True,True
/money-invest/daily-news/mundial-2030-y-2034-donde-y-cuando-se-jugaran-las-proximas-ediciones-de-la-copa-del-mundo/,Andrea Mercedes,sport business,10,13,76.9,🟡,True,False,False,True,True,True,,True,True,True,True,True,True,False
/technology/devices/iphone-18-filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento/,Elba Reyes,devices,9,13,69.2,🟡,True,True,False,True,True,False,,True,True,True,True,False,True,False
/money-invest/daily-news/espana-trofeo-original-mundial-2026/,Edwin Lozada,sport business,6,13,46.2,🔴,False,True,False,True,True,False,,True,True,False,False,False,True,False
/empresas/sport-business/mundial-2026-asi-quedo-el-cuadro-de-los-cuartos-de-final-tras-los-octavos-fecha-y-hora-para-ver-los-partidos/,Elba Reyes,sport business,8,13,61.5,🟡,True,False,False,True,True,False,,True,True,True,True,False,True,False
/actualidad/resultados-de-las-loterias-del-26-de-julio-de-2026-en-republica-dominicana/,Jhojhanni Fiorini,actualidad,6,13,46.2,🔴,True,False,False,True,False,False,,False,True,True,True,True,False,False
/technology/devices/iphone-18-pro-max-las-20-funciones-y-especificaciones-filtradas-antes-de-su-lanzamiento/,Elba Reyes,devices,9,13,69.2,🟡,True,True,False,True,True,False,,True,True,True,True,False,True,False
/money-invest/daily-news/que-famosos-murieron-en-el-terremoto-de-venezuela-lista-de-artistas-afectados-y-desaparecidos/,Andrea Mercedes,daily news,10,13,76.9,🟡,True,False,False,True,True,True,,True,True,True,True,True,True,False
/technology/devices/el-iphone-18-pro-max-tendria-cuatro-camaras-las-novedades-del-proximo-telefono-de-apple/,Elba Reyes,devices,10,13,76.9,🟡,True,False,True,True,True,False,,True,True,True,True,True,True,False
/technology/devices/cuando-sale-el-iphone-18-y-que-cambios-traera-el-nuevo-telefono-de-apple/,Jhojhanni Fiorini,devices,9,13,69.2,🟡,True,False,False,True,True,True,,True,True,True,True,False,True,False
/technology/devices/como-sera-el-iphone-18-pro-todo-sobre-las-polemicas-modificaciones-fisicas-que-planea-apple/,Elba Reyes,devices,9,13,69.2,🟡,True,True,False,True,True,False,,True,True,True,True,False,True,False
/actualidad/resultados-de-leidsa-del-miercoles-1-de-julio-de-2026-en-republica-dominicana/,Andrea Mercedes,actualidad,9,13,69.2,🟡,True,True,False,True,True,False,,False,True,True,True,True,False,True
/money-invest/daily-news/autopista-ambar-santiago-puerto-plata-rd/,Andrea Mercedes,daily news,10,13,76.9,🟡,True,True,False,True,True,False,,True,True,True,True,True,True,False
/actualidad/resultados-de-leidsa-del-sabado-18-de-julio-de-2026-en-republica-dominicana/,Elba Reyes,actualidad,8,13,61.5,🟡,True,False,False,True,True,False,,False,True,True,True,True,False,True
/actualidad/mundial-2026-por-que-piden-repetir-la-final-del-mundial-entre-argentina-y-francia/,Elba Reyes,actualidad,10,13,76.9,🟡,True,True,False,True,True,False,,True,True,True,True,True,True,False
