h1,title_tag,meta_desc,primer_parrafo,num_parrafos,num_h2,h2_textos,tiene_lista_tabla,num_tags,tags_textos,num_enlaces_internos,parrafo_primer_enlace,ancla_primer_enlace,anclas_todas,palabras_body,img_url,img_ancho,img_alt,autor_jsonld,seccion_jsonld,fecha_publicacion,keywords_jsonld,es_sindicado,error,ruta
Abinader y Trump firman «Escudo de las Américas» contra el crimen y sella pacto con Washington,Abinader Trump coalición antinarcóticos,Luis Abinader en la cumbre Escudo de las Américas: una coalición militar contra el narcotráfico y crimen organizado.,"El mandatario dominicano llegó a las 8:07 de la mañana al centro de convenciones. Fue recibido por la encargada de protocolo de la Casa Blanca,Mónica Crowley. El protocolo marcó el tono de un encuentro de alto voltaje político. La presencia dominicana no era meramente simbólica.",43,7,"Un bloque imponente bajo la bandera del «Escudo» | República Dominicana: socio estratégico con resultados concretos | La agenda: narcotráfico, migración e influencia china | Un contexto geopolítico sin precedentes | Marco Rubio, bilaterales y el valor real de la cumbre | Una coalición que nace con fuerza pero deberá demostrar permanencia | Más Mercado",False,11,"slide, Escudo de las Américas, Abinader cumbre Miami 2026, coalición militar narcotráfico América Latina, Trump cumbre latinoamericana 2026, República Dominicana seguridad regional, crimen organizado hemisferio occidental, Abinader Trump narcotráfico, cumbre líderes latinoamericanos Miami, política exterior República Dominicana 2026, coalición antinarcóticos Caribe",6,20.0,Qué es el Estado de la Unión y qué podemos esperar del mensaje de Donald Trump,Qué es el Estado de la Unión y qué podemos esperar del mensaje de Donald Trump | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters | Inicia sesión,975,https://revistamercado.do/wp-content/uploads/2026/03/Foto-web_0.jpg,1260,,Rodrigo Muñoz,Actualidad,2026-03-07T14:34:17-04:00,"slide, Escudo de las Américas, Abinader cumbre Miami 2026, coalición militar narcotráfico América Latina, Trump cumbre latinoamericana 2026, República Dominicana seguridad regional, crimen organizado hemisferio occidental, Abinader Trump narcotráfico, cumbre líderes latinoamericanos Miami, política exterior República Dominicana 2026, coalición antinarcóticos Caribe",False,,/actualidad/abinader-firma-coalicion-militar-en-la-cumbre-escudo-de-las-americas-y-consolida-al-pais-como-socio-estrategico-de-washington/
Así se hará el aumento al salario mínimo en el sector privado no sectorizado,Aumento al salario mínimo en el sector privado no sectorizado,"El Comité Nacional de Salarios anunció que, después de un acuerdo tripartita, el aumento del salario mínimo será de un 19 % y se hará...","La decisión nace de unacuerdo tripartitaentre elGobierno, elempresariadoy elsector sindicalluego de varias reuniones de trabajo.",43,4,¿Cómo se dará el aumento al salario mínimo? | ¿Qué es el sector privado no sectorizado? | Tarifas salariales | Más Mercado,True,5,"Luis Abinader, salario minimo, Luis Miguel De Camps, sector privado no sectorizado, Comité Nacional de Salarios",8,2.0,"El 2022 de la economía dominicana, en 6 datos","El 2022 de la economía dominicana, en 6 datos | Foro Económico Mundial: 3 recomendaciones para cumplir los objetivos ESG | ¿Qué pensamos de la publicidad online? | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters | Inicia sesión",520,https://revistamercado.do/wp-content/uploads/2023/03/Salario-minimo.jpg,1280,,Gabriel Rico Albarrán,Actualidad,2023-03-09T17:29:39-04:00,"Luis Abinader, salario minimo, Luis Miguel De Camps, sector privado no sectorizado, Comité Nacional de Salarios",False,,/actualidad/aumento-salario-minimo-rd-sector-privado-no-sectorizado/
Calendario lunar marzo 2026: mejores días para cortar el cabello,Calendario lunar marzo 2026: mejores días para cortar el cabello,Descubre cómo el calendario lunar puede influir en el crecimiento del cabello. Aprende sobre sus fases y tradiciones en marzo de 2026.,"Cada fase lunar marca un momento diferente para realizar cambios estéticos. Desde uncorte para fortalecer el cabellohasta un retoque para mejorar el volumen o el color, muchos seguidores de la astrología consideran que el satélite natural de la Tierra puede influir en el resultado final.",41,2,Cómo influyen las fases de la Luna en el crecimiento del cabello | Más Mercado,True,1,Calendario lunar,5,19.0,Suscríbete a la revista,Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters | Inicia sesión,673,https://revistamercado.do/wp-content/uploads/2026/03/Calendario-lunar-marzo-2026-mejores-días-para-cortar-el-cabello-copy.jpg,1560,,Jhojhanni Fiorini,Actualidad,2026-03-07T13:37:12-04:00,"norecents, Calendario lunar",False,,/actualidad/calendario-lunar-marzo-2026-mejores-dias-para-cortar-el-cabello/
"Claude, de Anthropic, le dice que no al Pentágono y rompe su relación con EE.UU.",La ruptura entre Claude y el Pentágono por el uso de IA,"Claude, la inteligencia artificial de Anthropic que era utilizada por el Pentágono, pasó a la lista negra tras no permitir que su plataforma..","El interés del Pentágono en la tecnología de Anthropic data de finales de 2024, cuando la empresa integró su modelo en redes clasificadas del gobierno de Estados Unidos mediante una alianza conPalantir TechnologiesyAmazon Web Services.",42,2,Por qué el Pentágono usaba Claude | Más Mercado,False,4,"inteligencia artificial, Anthropic, slide, Claude",6,13.0,Estrecho de Ormuz: clave del petróleo mundial,Estrecho de Ormuz: clave del petróleo mundial | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters | Inicia sesión,769,https://revistamercado.do/wp-content/uploads/2026/03/Claude-de-Anthropic-le-dice-que-no-al-Pentágono-y-rompe-su-relación-con-EE.UU_.jpeg,1560,"Claude, de Anthropic, le dice que no al Pentágono y rompe su relación con EE.UU.",Gabriel Rico Albarrán,Actualidad,2026-03-03T17:22:34-04:00,"inteligencia artificial, Anthropic, slide, Claude",False,,/actualidad/claude-de-anthropic-le-dice-que-no-al-pentagono-y-rompe-su-relacion-con-ee-uu/
La cumbre Escudo de las Américas de Trump cita a 12 presidentes latinoamericanos,Escudo de las Américas de Trump cita a 11 presidentes de Latam,"Desde Miami, Donald Trump convoca a 11 presidentes latinoamericanos para la cumbre Escudo de las Américas, una cita que busca","A estos temas se suma el tema migratorio, la amenaza que suponen las bandas criminales y el narcotráfico.",45,2,Quiénes participan en la reunión Escudo de las Américas | Más Mercado,True,6,"republica dominicana, Estados Unidos, Luis Abinader, Donald Trump, slide, Escudo de las Américas",6,3.0,"República Dominicana es el segundo país más seguro de la región, según Abinader","República Dominicana es el segundo país más seguro de la región, según Abinader | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters | Inicia sesión",698,https://revistamercado.do/wp-content/uploads/2026/03/La-cumbre-Escudo-de-las-Américas-de-Trump-cita-a-11-presidentes-latinoamericanos.jpg,1920,La cumbre Escudo de las Américas de Trump cita a 11 presidentes latinoamericanos,Gabriel Rico Albarrán,Actualidad,2026-03-07T07:00:00-04:00,"republica dominicana, Estados Unidos, Luis Abinader, Donald Trump, slide, Escudo de las Américas",False,,/actualidad/cumbre-escudo-de-las-americas-de-trump-cita-a-11-presidentes-latinoamericanos/
Elly De La Cruz hace historia: primer dominicano con 10 jonrones en la temporada,Elly De La Cruz hace historia: primer dominicano con 10 jonrones en la temporada,"Elly De La Cruz, el joven fenómeno del béisbol, se convierte en el primer dominicano con 10 jonrones esta temporada.","El batazo que lo cambió todo llegó en un momento clave ante los Colorado Rockies. En la octava entrada, con el marcador a favor de Cincinnati, De La Cruz conectó su décimo cuadrangular del año para ampliar la ventaja. Así, cerró una actuación ofensiva contundente.Terminó la noche de 4-3, con cuatro carreras impulsadas y dos bases robadas, una línea que resume bien el tipo de jugador en el que se está convirtiendo.",16,1,Más que velocidad: una evolución ofensiva,False,1,MLB,8,2.0,Empresario dominicano adquiere chaqueta de la selección dominicana utilizada en el Clásico Mundial de Béisbol 2026,Empresario dominicano adquiere chaqueta de la selección dominicana utilizada en el Clásico Mundial de Béisbol 2026 | MLB | Reds | El dominicano José Soriano rompe registros en MLB: números que no se veían desde 1900 | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,616,https://revistamercado.do/wp-content/uploads/2026/04/Elly-De-La-Cruz-hace-historia-primer-dominicano-con-10-jonrones-en-la-temporada.jpg,1920,"Jugador de béisbol Elly De La Cruz con su camiseta número 44, de pie en el campo de juego, mientras hace un gesto de saludo.",Elba Reyes,Actualidad,2026-05-04T13:00:46-04:00,"MLB, no-paywall",False,,/actualidad/elly-de-la-cruz-hace-historia-primer-dominicano-con-10-jonrones-en-la-temporada/
"Extraterrestres, política e IA: el renovado interés por Baba Vanga en 2026",Baba Vanga y las predicciones sobre contacto extraterrestre 2026,"Baba Vanga vuelve al centro del debate en 2026, impulsada por el interés en los UAP, tensiones globales y avances tecnológicos. Una mirada informativa y crítica.","El misterio en torno aBaba Vanga, la mística búlgara conocida como la “Nostradamus de los Balcanes”, sigue generando atención. A pesar de su fallecimiento en 1996, sus supuestas predicciones continúan siendo reinterpretadas. En 2026, parte del debate público vuelve a mirar sus visiones, especialmente aquellas asociadas a la posibilidad de contacto extraterrestre y a escenarios globales de transformación.",40,5,"Política, cultura y ciencia: tres motores del actual debate | La cultura audiovisual también impulsa la conversación | La posición científica sigue siendo cautelosa | ¿Quién fue Baba Vanga y por qué vuelve a circular su nombre? | Más Mercado",True,6,"baba vanga 2026, profecía extraterrestres, aliens 2026, predicciones baba vanga, contacto alienígena, ovnis 2026",7,3.0,Donald Trump,Donald Trump | De Obama a Spielberg: por qué 2026 es el año en que el debate extraterrestre volvió al centro | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters | Inicia sesión,958,https://revistamercado.do/wp-content/uploads/2026/02/Extraterrestres-política-e-IA-el-renovado-interés-por-Baba-Vanga-en-2026.webp,1560,,Rodrigo Muñoz,Actualidad,2026-02-23T18:01:22-04:00,"norecents, baba vanga 2026, profecía extraterrestres, aliens 2026, predicciones baba vanga, contacto alienígena, ovnis 2026",False,,/actualidad/extraterrestres-politica-e-ia-el-renovado-interes-por-baba-vanga-en-2026/
El fin de la encuesta Gallup: por qué deja de medir la aprobación presidencial en Estados Unidos,Encuesta Gallup deja de medir la aprobación presidencial en EU,El fin de la encuesta Gallup marca un cambio histórico en la medición de la aprobación presidencial en Estados Unidos. Estas son las razones.,"Ahora,tras casi nueve décadas de mediciones, la encuesta Gallup para medir la aprobación presidencial estadounidense llega a su fin.",54,4,¿Qué es y cómo empezó la encuesta Gallup? | Por qué Gallup deja de medir la aprobación presidencial estadounidense | Qué sigue para Gallup | Más Mercado,False,4,"Estados Unidos, Donald Trump, encuesta Gallup, aprobación presidencial",7,2.0,Trump revoca regulaciones sobre emisiones de gases de efecto invernadero en EE.UU.,Trump revoca regulaciones sobre emisiones de gases de efecto invernadero en EE.UU. | La IA podría asumir el 11.7 % del trabajo en Estados Unidos | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters | Inicia sesión,873,https://revistamercado.do/wp-content/uploads/2026/02/Gallup-pone-fin-a-su-encuesta-sobre-la-popularidad-presidencial-en-Estados-Unidos.jpg,1560,Gallup pone fin a su encuesta sobre la popularidad presidencial en Estados Unidos,Gabriel Rico Albarrán,Actualidad,2026-02-16T10:23:08-04:00,"Estados Unidos, Donald Trump, encuesta Gallup, aprobación presidencial",False,,/actualidad/fin-de-la-encuesta-gallup-por-que-deja-de-medir-la-aprobacion-presidencial-en-estados-unidos/
"Don Héctor Rizek Llabaly, el patriarca del cacao dominicano",Don Héctor Rizek Llabaly el patriarca del cacao dominicano,Don Héctor Rizek Llabaly dejando un legado que transformó el cacao dominicano en símbolo de calidad internacional,"Su vida estuvo marcada por la ética, la innovación y el compromiso con la comunidad. DesdeSan Francisco de Macorís, elevó el cacao dominicano a las más altas esferas del comercio mundial y consolidó a la familia Rizek como referente empresarial y social en todo el país.",30,0,,False,6,"Grupo Rizek, Rizek, cacao, Héctor José Rizek Llabaly, Nazario Rizek, Rizek Llabaly",7,10.0,"Grupo Rizek, el más poderoso productor del cacao","Grupo Rizek, el más poderoso productor del cacao | Empresas más Admiradas – Héctor Rizek, CEO Grupo Rizek | «Tovar Retrospectivo». Su legado, vivo y presente | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters",832,https://revistamercado.do/wp-content/uploads/2026/03/OPENING-WEB-RIZEK-1-scaled.jpg,2560,El legado de Héctor Rizek,Miguel Vega,Actualidad,2026-03-30T19:38:58-04:00,"Grupo Rizek, Rizek, cacao, no-paywall, Héctor José Rizek Llabaly, Nazario Rizek, Rizek Llabaly, daily-cover-story",False,,/actualidad/hector-jose-rizek-llabaly-el-patriarca-del-cacao-dominicano/
"José Antonio ‘Tony’ Caro Ginebra, el continuador de un gran legado en la arquitectura contemporánea","José A. ‘Tony’ Caro Ginebra, continuador de un legado arquitectónico","Tony Caro Ginebra, segunda generación de la familia Caro, forjó parte de la identidad urbana de Santo Domingo. República Dominicana despide","Su vida estuvo marcada por la vocación, el rigor profesional y la fidelidad a un linaje intelectual sin igual que ha dejado escritas varias de las páginas más trascendentales de la historia de la arquitectura dominicana y caribeña.",22,5,"Un linaje con sólidos cimientos | La segunda generación: Ingeniería y Arquitectura, IA | Obras emblemáticas | El reconocimiento de sus pares y de la nación | Un legado vivo que continúa",False,3,"Sector Construcción, José Antonio ""Tony"" Caro Ginebra, José Antonio Caro Álvarez",5,17.0,Design Week República Dominicana,Design Week República Dominicana | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,923,https://revistamercado.do/wp-content/uploads/2026/05/José-Antonio-‘Tony-Caro-Ginebra-el-continuador-de-un-gran-legado-en-la-arquitectura-contemporánea.jpg,1315,"José Antonio ‘Tony’ Caro Ginebra, el continuador de un gran legado en la arquitectura contemporánea",Gabriel Rico Albarrán,Actualidad,2026-05-18T07:06:31-04:00,"Sector Construcción, no-paywall, daily-cover-story, José Antonio ""Tony"" Caro Ginebra, José Antonio Caro Álvarez",False,,/actualidad/jose-antonio-tony-caro-ginebra-el-continuador-de-un-gran-legado-en-la-arquitectura-contemporanea/
