h1,title_tag,meta_desc,primer_parrafo,num_parrafos,num_h2,h2_textos,tiene_lista_tabla,num_tags,tags_textos,num_enlaces_internos,parrafo_primer_enlace,ancla_primer_enlace,anclas_todas,palabras_body,img_url,img_ancho,img_alt,autor_jsonld,seccion_jsonld,fecha_publicacion,keywords_jsonld,es_sindicado,error,ruta
El Campín de Bogotá se convierte en el mayor centro de acopio para los afectados por el terremoto en Colombia,"Tras el terremoto, voluntarios reunen ayuda en El Campín",Voluntarios reúnen ayuda en El Campín de Bogotá para las víctimas del terremoto que asoló varias regiones del Chocó,"Desde primera hora de la mañana, voluntarios, muchos de ellos con camisetas de la selección colombiana de fútbol, formaron largas cadenas humanas para recibir, clasificar y empaquetar las donaciones para su posterior traslado.",14,0,,False,3,"Voluntariado, Terremoto Colombia, Cruz Roja Colombiana",7,2.0,Karol G y el día después del temblor: una fundación responde a la emergencia en Colombia,Karol G y el día después del temblor: una fundación responde a la emergencia en Colombia | La explicación científica sobre el gran terremoto en Colombia y por qué no tiene relación con los sismos de Venezuela | Vuelos entre República Dominicana y Colombia: ¿se mantienen normales o hay cancelaciones tras el terremoto? | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,400,https://revistamercado.do/wp-content/uploads/2026/08/Voluntarios-reúnen-ayuda-copy.jpg,1315,,Miguel Vega,Actualidad,2026-08-13T13:55:59-04:00,"Voluntariado, no-paywall, Terremoto Colombia, Cruz Roja Colombiana",False,,/actualidad/el-campin-de-bogota-se-convierte-en-el-mayor-centro-de-acopio-para-los-afectados-por-el-terremoto-en-colombia
"Festival Presidente 2026: artistas, fechas y precios de las boletas","Festival Presidente 2026: artistas, fechas y precios de las boletas","Festival Presidente 2026: conoce las fechas, cartelera, artistas, precios de las boletas y todos los detalles del regreso del festival.","La edición llega con una particularidad frente a las anteriores: serán dos jornadas, no tres. Y aunque son menos días, la apuesta de la producción es concentrar en un mismo fin de semana nombres de gran peso internacional junto a figuras dominicanas y artistas de la nueva escena.",19,1,Viernes 11 con Juan Luis Guerra y Calvin Harris,True,1,Festival Presidente 2026,8,2.0,El presidente Abinader reorganiza el gobierno y anuncia más cambios,El presidente Abinader reorganiza el gobierno y anuncia más cambios | Festival Presidente 2026: revelan los 11 primeros artistas confirmados | el festival | Festival Presidente 2026: Danny Ocean y Calvin Harris se unen a la cartelera: ¿cuándo se presentará en Santo Domingo? | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,618,https://revistamercado.do/wp-content/uploads/2026/08/Festival-Presidente-2026-artistas-fechas-y-precios-de-las-boletas-copy.webp,1560,"Arte promocional del Festival Presidente 2026 con el line-up oficial de Juan Luis Guerra, Calvin Harris, Katy Perry y Don Omar.",Elba Reyes,Actualidad,2026-08-17T10:22:52-04:00,"norecents, no-paywall, Festival Presidente 2026",False,,/actualidad/festival-presidente-2026-artistas-fechas-y-precios-de-las-boletas
Festival Presidente 2026: Danny Ocean  y Calvin Harris se unen a la cartelera: ¿cuándo se presentará en Santo Domingo?,Festival Presidente 2026 suma a Danny Ocean y Calvin Harris,"El Festival Presidente 2026 suma a Danny Ocean y Calvin Harris a su cartelera, que también incluye a Katy Perry, Don Omar y Juan Luis Guerra.","El venezolano y el DJ británico se incorporan a una programación que ya reúne a algunas de las figuras más reconocidas de la música latina y anglosajona. La nueva edición del festival se celebrará en Santo Domingo durante diciembre, con elEstadio Olímpico Félix Sánchezcomo escenario del esperado regreso del evento después de nueve años de ausencia.",20,1,Danny Ocean vuelve a Santo Domingo,False,2,"Festival Presidente 2026, danny ocean",8,1.0,Estadio Olímpico Félix Sánchez,Estadio Olímpico Félix Sánchez | Los protagonistas que están dejando huella en The Best of RD | Festival Presidente 2026: revelan los 11 primeros artistas confirmados | ¿Quiénes serían los artistas del Festival Presidente 2026 en diciembre en Santo Domingo? | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,777,https://revistamercado.do/wp-content/uploads/2026/08/Cervecería-Presidente-anuncia-las-fechas-del-Festival-Presidente-2026-en-The-Best-of-DR.webp,1560,"Escenario de un festival nocturno con fuegos artificiales, luces verdes, público asistente y una pantalla central con el logo de Festival Presidente 2026.",Elba Reyes,Actualidad,2026-08-14T13:34:29-04:00,"no-paywall, Festival Presidente 2026, danny ocean",False,,/actualidad/festival-presidente-2026-danny-ocean-y-calvin-harris-se-unen-a-la-cartelera-cuando-se-presentara-en-santo-domingo
Festival Presidente 2026: revelan los 11 primeros artistas confirmados,Festival Presidente 2026: revelan los 11 primeros artistas,"El Festival Presidente 2026 regresa a República Dominicana con 11 artistas confirmados, entre ellos Katy Perry, Don Omar, Beéle y Juan Luis Guerra","Hasta el momento, son 11 los artistas y propuestas confirmados. La lista incluye aDon Omar, Beéle, Dalvin La Melodía, Milly Quezada, Juan Luis Guerra & 440, Katy Perry, Yiyo Sarante, Elena Rose, Omar Courtz ,Fineta Records y Danny Ocean.",20,1,Un cartel que cruza generaciones,False,6,"música, conciertos, Katy Perry, juan luis guerra, noticias-economicas-RD, festival-presidente",8,2.0,Inflación global: ¿cuánto podría subir si continúa la crisis en el estrecho de Ormuz?,"Inflación global: ¿cuánto podría subir si continúa la crisis en el estrecho de Ormuz? | festival | ¿Quiénes serían los artistas del Festival Presidente 2026 en diciembre en Santo Domingo? | Don Omar, Juan Luis Guerra y Beéle encabezan la cartelera del Festival Presidente 2026 | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters",733,https://revistamercado.do/wp-content/uploads/2026/08/Festival-Presidente-2026-revelan-los-10-primeros-artistas-confirmados.webp,1560,"Escenario de un festival nocturno con fuegos artificiales, luces verdes, pantallas gigantes y público disfrutando de un espectáculo musical.",Elba Reyes,Actualidad,2026-08-12T12:34:19-04:00,"música, conciertos, Katy Perry, juan luis guerra, no-paywall, noticias-economicas-RD, festival-presidente",False,,/actualidad/festival-presidente-2026-revelan-los-11-primeros-artistas-confirmados
Lluvia de meteoros Perseidas: cómo y cuándo verla en República Dominicana,Perseidas 2026: cuándo y dónde verlas desde RD,Las Perseidas 2026 alcanzarán su máximo el 13 de agosto. Descubre cuándo y dónde verlas desde República Dominicana y cómo observarlas mejor.,"La buena noticia para quienes quieran observarlas desdeRepública Dominicanaes que no hace falta un telescopio ni ningún equipo especializado. De hecho, uno de los mejores aliados será algo mucho más sencillo, encontrar un lugar oscuro, lejos de las luces de la ciudad, y tener un poco de paciencia.",20,1,¿Cuándo será el mejor momento para mirar al cielo?,False,5,"republica dominicana, ciencia, astronomia, perseidas, lluvia-de-estrellas",9,1.0,República Dominicana,República Dominicana | ¿Tendrá el cerebro su propio Ozempic? | Doble lluvia de meteoros se verá en República Dominicana: Horarios y mejores lugares para observarla | lluvia de meteoros | Lluvia de meteoros Líridas 2026: ¿Se verán las Líridas en República Dominicana? Fecha exacta y hora del pico | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,759,https://revistamercado.do/wp-content/uploads/2026/08/Lluvia-de-meteoros-Perseidas-como-y-cuando-verla-en-Republica-Dominicana.webp,1560,Cielo nocturno lleno de estrellas y trazos luminosos de meteoros sobre un paisaje oscuro durante una lluvia de estrellas.,Elba Reyes,Actualidad,2026-08-12T16:11:32-04:00,"republica dominicana, ciencia, astronomia, no-paywall, perseidas, lluvia-de-estrellas",False,,/actualidad/lluvia-de-meteoros-perseidas-como-y-cuando-verla-en-republica-dominicana
Los países del mundo donde no se podrá ver el eclipse solar del 12 de agosto y la explicación astronómica,Eclipse solar del 12 de agosto: ¿qué países no lo verán?,El eclipse solar del 12 de agosto no será visible en todo el mundo. Conoce qué países podrán verlo y cuáles quedarán fuera de su trayectoria.,"El cielo del próximo 12 de agosto tendrá un protagonista indiscutible, un eclipse solar total que cruzará parte del hemisferio norte y convertirá durante unos minutos el día en noche en determinadas zonas. Sin embargo, aunque se trata deuno de los fenómenos astronómicos más esperados de 2026, no será visible desde todos los rincones del planeta.",18,1,¿Qué países quedarán fuera?,False,2,"astronomia, Eclipse solar",8,2.0,SpaceX: Elon Musk quiere llevar robots a la Luna para alcanzar los US$1 billón en ingresos,SpaceX: Elon Musk quiere llevar robots a la Luna para alcanzar los US$1 billón en ingresos | el eclipse del 12 de agosto | Curiosidades que debes conocer sobre el eclipse solar total del 12 de agosto | Eclipse solar de agosto: El error común que puede costar tu visión permanentemente | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,668,https://revistamercado.do/wp-content/uploads/2026/08/Los-paises-del-mundo-donde-no-se-podra-ver-el-eclipse-solar-del-12-de-agosto-y-la-explicacion-astronomica.webp,1560,"Vista panorámica de una ciudad moderna al atardecer, con un rascacielos de cristal destacado en primer plano y montañas nevadas al fondo.",Elba Reyes,Actualidad,2026-08-10T15:50:50-04:00,"astronomia, Eclipse solar, norecents, no-paywall",False,,/actualidad/los-paises-del-mundo-donde-no-se-podra-ver-el-eclipse-solar-del-12-de-agosto-y-la-explicacion-astronomica
"Partidos de hoy, lunes 17 de agosto del 2026: horarios y dónde ver fútbol en vivo y online",Partidos de hoy 17 de agosto 2026: dónde ver fútbol en vivo,"Partidos de hoy, lunes 17 de agosto de 2026: conoce los horarios en RD, canales y plataformas para ver fútbol en vivo y online.","Te mostramos los horarios de los principales encuentros, así como los canales de TV y plataformas donde podrás ver fútbol en directo y online.",22,2,"Partidos de hoy, lunes 17 de agosto del 2026 EN VIVO: horarios RD y canales para ver | ¿Dónde ver los partidos de hoy en vivo y online?",False,1,partidos hoy,4,21.0,Suscríbete a la revista,Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,340,https://revistamercado.do/wp-content/uploads/2026/06/¿Por-que-tantas-estrellas-del-Mundial-2026-juegan-con-botines-rosados_-copy.webp,1560,Primer plano de los pies de varios jugadores de fútbol del Mundial 2026 usando botines de color rosa sobre el césped durante un partido. Se ven uniformes de distintos países y el público de fondo.,Jhojhanni Fiorini,Actualidad,2026-08-17T09:03:16-04:00,"no-paywall, partidos hoy",False,,/actualidad/partidos-de-hoy-lunes-17-de-agosto-del-2026-horarios-y-donde-ver-futbol-en-vivo-y-online
"Partidos de hoy, martes 25 de agosto del 2026: horarios y dónde ver fútbol en vivo",Partidos de hoy 25 de agosto 2026: dónde ver fútbol en vivo,"Partidos de hoy, martes 25 de agosto de 2026: conoce los horarios en RD, canales y plataformas para ver fútbol en vivo, con Champions, LaLiga y Libertadores.","Te mostramos los horarios de los principales encuentros, los canales de TV y las plataformas donde podrás seguir los partidos en directo y online.",22,2,"Partidos de hoy, martes 25 de agosto del 2026 EN VIVO: horarios RD y canales para ver | ¿Dónde ver los partidos de hoy en vivo?",False,1,Partidos de hoy,4,21.0,Suscríbete a la revista,Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters,337,https://revistamercado.do/wp-content/uploads/2026/02/Futbol-hoy.jpg,1000,,Jhojhanni Fiorini,Actualidad,2026-08-25T10:05:29-04:00,"no-paywall, Partidos de hoy",False,,/actualidad/partidos-de-hoy-martes-25-de-agosto-del-2026-horarios-y-donde-ver-futbol-en-vivo
Qué significa ‘farmear aura’ y por qué se volvió viral entre los jóvenes,Qué significa “farmear aura” y por qué se volvió viral,"¿Qué significa “farmear aura”? Descubre el origen de esta tendencia viral, su relación con TikTok y las nuevas batallas de aura entre jóvenes.","La tendencia combinacarisma, confianza, estilo y una dosis de espectáculopara proyectar una personalidad capaz de captar la atención de los demás.",25,3,"¿Qué significa “farmear aura” y de dónde viene el término? | TikTok, memes e inteligencia artificial impulsan el “aura farming” | Las “batallas de aura” llegan a las calles de América Latina",False,0,,7,4.0,"Liderazgo, talento y visión en The Best of DR Región Norte: ¿quiénes fueron reconocidos?","Liderazgo, talento y visión en The Best of DR Región Norte: ¿quiénes fueron reconocidos? | Países más poderosos del mundo: ¿cuáles encabezan el ranking de influencias y cómo se ubican América Latina? | Líder en el Caribe: la CEPAL coloca a República Dominicana entre las economías con mayor crecimiento de Latinoamérica | Suscríbete a la revista | regístrate a nuestros newsletters | Suscríbete a la revista | regístrate a nuestros newsletters",654,https://revistamercado.do/wp-content/uploads/2026/08/Qué-significa-farmear-aura-y-por-qué-se-volvió-viral-entre-los-jóvenes.webp,1560,"Personas participando en una batalla de baile en un escenario oscuro con luces azules, rodeadas por un público que observa y graba con teléfonos.",Jhojhanni Fiorini,Actualidad,2026-08-21T11:51:50-04:00,no-paywall,False,,/actualidad/que-significa-farmear-aura-y-por-que-se-volvio-viral-entre-los-jovenes
Resultados de las loterías del 13 de agosto de 2026 en República Dominicana,Resultados de loterías de hoy 13 de agosto: Nacional y Leidsa,"Consulta los resultados de las loterías de hoy 13 de agosto: Lotería Nacional, Leidsa, Lotería Real, Loteka, loterías americanas, y más.",Importante:verifica siempre los resultados con la entidad oficial de cada lotería antes de realizar cualquier reclamación.,2,12,Resultados de la Lotería Nacional | Resultados de Leidsa | Resultados de la Lotería Real | Resultados de Loteka | Resultados de las loterías americanas | Resultados de La Primera | Resultados de La Suerte | Resultados de LoteDom | Resultados de Anguila | Resultados de King Lottery | Resultados de Nueva York | Resultados de Haiti Bolet,True,1,lotería,2,2.0,Suscríbete a la revista,Suscríbete a la revista | regístrate a nuestros newsletters,32,https://revistamercado.do/wp-content/uploads/2026/02/Loteria-República-Dominicana.jpg,1000,"Conjunto de bolas numeradas de lotería almacenadas en filas, con diferentes números visibles sobre superficies blancas, representando un sorteo de azar.",Jhojhanni Fiorini,Actualidad,2026-08-14T10:03:26-04:00,"no-paywall, lotería",False,,/actualidad/resultados-de-las-loterias-del-13-de-agosto-de-2026-en-republica-dominicana
